case_id,artifact_id,status,url_norm,expected_context,matched_context,completeness,note
case3,C3-01,TP,https://www.wikipedia.org,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-02,TP,https://en.wikipedia.org/wiki/Digital_forensics,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-03,TP,https://en.wikipedia.org/wiki/Computer_forensics,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-04,TP,https://en.wikipedia.org/wiki/Digital_evidence,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-05,TP,https://en.wikipedia.org/wiki/Best_evidence_rule,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-06,TP,https://www.chromium.org,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-07,TP,https://www.chromium.org/Home,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-08,TP,https://www.chromium.org/developers,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-09,TP,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,C3-10,TP,https://www.chromium.org/developers/design-documents/multi-process-architecture,tab+order+url+from,url,0.25,Regex found URL but has no tab/window/navigation context
case3,,FP,https://chromium.org,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://wikipedia.org,,url,0,Regex recovered URL not present in ground truth
case3,,FP,"http://127.0.0.1:4353/pervasive.js,3790EEB37E2A761CFD3B274CCF45CE5AB86A34DF11E28FB7ED4D82AFBBC13BEB",,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://schemas.microsoft.com/SMI/2005/WindowsSettings,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.google.com/search?q=https+%2F%2Fwww.wikipedia.org+random&sourceid=chrome&ie=UTF-8,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.youtube.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.google.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://support.google.com/chromebook?p=app_intent,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.example.comurl,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chrome.google.com/webstore/category/extensions,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chromeenterprise.google/policies,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://photos.google.com/settings?referrer=CHROME_NTP,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://myactivity.google.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://policies.google.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://example.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://example.com.use,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://support.google.com/chrome/a/answer/9122284,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://support.google.com/chrome/answer/6098869,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://www.unicode.org/copyright.html,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chrome.google.com/webstore,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chromewebstore.google.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/v3/signin/identifier?dsh=S-502362205%3A1677653382461634&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&rip=1&sacu=1&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&ifkv=AWnogHdB2R47P8_be1so0fF5AMBtyCl6BDwEB27tq1JXdNxmLP4oSim3J-gghyoQV3HJ_lsNV7yYDw,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://clients2.google.com/service/update2/crx,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.googleapis.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/signin/chrome/sync?ssp=1,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/encryption/unlock/desktop,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/chrome/blank.html,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/oauth/multilogin,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/embedded/setup/v2/chromeos,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accountcapabilities-pa.googleapis.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/embedded/setup/windows,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/embedded/reauth/chromeos,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.googleapis.com/oauth2/v4/token,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/embedded/xreauth/chrome,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.googleapis.com/reauth/v1beta/users,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.googleapis.com/oauth2/v2/tokeninfo,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/o/oauth2/revoke,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://oauthaccountmanager.googleapis.com/v1/issuetoken,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.googleapis.com/oauth2/v1/userinfo,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/GetCheckConnectionInfo,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/ListAccounts?json=standard,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.bing.com/chrome/newtab,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/opensearch.xml,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://search.yahoo.com?fr=crmas_sfp,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://en.wikipedia.org/w/opensearch_desc.php,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.youtube.com/opensearch?locale=ko_KR,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.youtube.com/favicon.ico,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://search.daum.net/favicon.ico,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://search.yahoo.com/favicon.ico,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://stackoverflow.com/opensearch.xml,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://accounts.google.com/*,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/717501,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/839189,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://crbug.com/1245093):,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://codereview.chromium.org/25305002).,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/497301,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/514696,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/275944,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/775961,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chromewebstore.google.com/*,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/437891.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/1352358,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/378067,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/456214,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/510270,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/642141,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/819404,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/957772,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://crbug.com/1201800,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://crbug.com/672186).,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://www.w3.org/2000/svg,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://www.w3.org/1999/xlink,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://127.0.0.1,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://web.dev/bfcache/),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://www.chromestatus.com/feature/5629709824032768,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://tools.ietf.org/html/draft-west-cookie-prefixes-05.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://developer.chrome.com/blog/immutable-document-domain,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://goo.gle/chrome-insecure-origins,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/WICG/shared-element-transitions/blob/main/debugging_overflow_on_images.md.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://developer.chrome.com/docs/extensions/reference/privacy,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://user:pass@host/),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://developer.chrome.com/blog/enabling-shared-array-buffer,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://developer.chrome.com/docs/extensions/mv3/cross-origin-isolation/.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://bit.ly/window-placement-rename.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://xhr.spec.whatwg.org/.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://g.co/chrome/lookalike-warnings.,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://tools.ietf.org/html/draft-west-cookie-prefixes-05,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/WICG/shared-element-transitions/blob/main/debugging_overflow_on_images.md,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://user:pass@host,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://crbug.com/1302249,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://developer.chrome.com/docs/extensions/mv3/cross-origin-isolation,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://xhr.spec.whatwg.org,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://g.co/chrome/lookalike-warnings,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://chrome-devtools-frontend.appspot.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://username:password@example.com,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/GoogleChrome/lighthouse,,url,0,Regex recovered URL not present in ground truth
case3,,FP,http://www.apache.org/licenses/LICENSE-2.0,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/GoogleChrome/lighthouse/issues,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://nodejs.org/api/intl.html,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/GoogleChrome/lighthouse/blob/main/readme.md,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/components/amp-img?format=websites),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/components/amp-img,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/guides-and-tutorials/develop/media_iframes_3p?format=websites,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://github.com/ampproject/amp-toolbox/tree/master/packages/optimizer),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/guides-and-tutorials/optimize-and-measure/server-side-rendering/).,,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/guides-and-tutorials/develop/style_and_layout/style_pages/),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/components/amp-anim/),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://web.dev/use-srcset-to-automatically-choose-the-right-image/),,url,0,Regex recovered URL not present in ground truth
case3,,FP,https://amp.dev/documentation/guides-and-tutorials/develop/style_and_layout/art_direction/).,,url,0,Regex recovered URL not present in ground truth
